gender|age_group|education|teaor_name|county|count|teaor_code
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Szálláshely-szolgáltatás, vendéglátás|Budapest|19|I
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Információ, kommunikáció|Budapest|5|J
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Pénzügyi, biztosítási tevékenység|Budapest|2|K
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Ingatlanügyletek|Budapest|1|L
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Szakmai, tudományos, műszaki tevékenység|Budapest|1|M
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|24|N
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Közigazgatás, védelem; kötelező társadalombiztosítás|Budapest|2|O
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Oktatás|Budapest|4|P
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Humán-egészségügyi, szociális ellátás|Budapest|3|Q
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Művészet, szórakoztatás, szabad idő|Budapest|1|R
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Egyéb szolgáltatás|Budapest|4|S
Férfi|25–29 éves|Általános iskola 8. évfolyamnál alacsonyabb|Háztartás munkaadói tevékenysége; termék előállítása, szolgáltatás végzése saját fogyasztásra|Budapest|1|T
Férfi|25–29 éves|Általános iskola 8. évfolyam|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|20|A
Férfi|25–29 éves|Általános iskola 8. évfolyam|Bányászat, kőfejtés|Budapest|1|B
Férfi|25–29 éves|Általános iskola 8. évfolyam|Feldolgozóipar|Budapest|361|C
Férfi|25–29 éves|Általános iskola 8. évfolyam|Villamosenergia-, gáz-, gőzellátás, légkondicionálás|Budapest|16|D
Férfi|25–29 éves|Általános iskola 8. évfolyam|Vízellátás; szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés|Budapest|23|E
Férfi|25–29 éves|Általános iskola 8. évfolyam|Építőipar|Budapest|561|F
Férfi|25–29 éves|Általános iskola 8. évfolyam|Kereskedelem, gépjárműjavítás|Budapest|641|G
Férfi|25–29 éves|Általános iskola 8. évfolyam|Szállítás, raktározás|Budapest|487|H
Férfi|25–29 éves|Általános iskola 8. évfolyam|Szálláshely-szolgáltatás, vendéglátás|Budapest|432|I
Férfi|25–29 éves|Általános iskola 8. évfolyam|Információ, kommunikáció|Budapest|80|J
Férfi|25–29 éves|Általános iskola 8. évfolyam|Pénzügyi, biztosítási tevékenység|Budapest|12|K
Férfi|25–29 éves|Általános iskola 8. évfolyam|Ingatlanügyletek|Budapest|35|L
Férfi|25–29 éves|Általános iskola 8. évfolyam|Szakmai, tudományos, műszaki tevékenység|Budapest|57|M
Férfi|25–29 éves|Általános iskola 8. évfolyam|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|361|N
Férfi|25–29 éves|Általános iskola 8. évfolyam|Közigazgatás, védelem; kötelező társadalombiztosítás|Budapest|68|O
Férfi|25–29 éves|Általános iskola 8. évfolyam|Oktatás|Budapest|17|P
Férfi|25–29 éves|Általános iskola 8. évfolyam|Humán-egészségügyi, szociális ellátás|Budapest|71|Q
Férfi|25–29 éves|Általános iskola 8. évfolyam|Művészet, szórakoztatás, szabad idő|Budapest|57|R
Férfi|25–29 éves|Általános iskola 8. évfolyam|Egyéb szolgáltatás|Budapest|74|S
Férfi|25–29 éves|Általános iskola 8. évfolyam|Háztartás munkaadói tevékenysége; termék előállítása, szolgáltatás végzése saját fogyasztásra|Budapest|3|T
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Mezőgazdaság, erdőgazdálkodás, halászat|Budapest|16|A
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Feldolgozóipar|Budapest|345|C
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Villamosenergia-, gáz-, gőzellátás, légkondicionálás|Budapest|13|D
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Vízellátás; szennyvíz gyűjtése, kezelése, hulladékgazdálkodás, szennyeződésmentesítés|Budapest|22|E
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Építőipar|Budapest|556|F
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Kereskedelem, gépjárműjavítás|Budapest|471|G
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Szállítás, raktározás|Budapest|320|H
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Szálláshely-szolgáltatás, vendéglátás|Budapest|468|I
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Információ, kommunikáció|Budapest|57|J
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Pénzügyi, biztosítási tevékenység|Budapest|9|K
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Ingatlanügyletek|Budapest|23|L
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Szakmai, tudományos, műszaki tevékenység|Budapest|69|M
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Adminisztratív és szolgáltatást támogató tevékenység|Budapest|267|N
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Közigazgatás, védelem; kötelező társadalombiztosítás|Budapest|37|O
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Oktatás|Budapest|17|P
Férfi|25–29 éves|Középfokú iskola érettségi nélkül, szakmai oklevéllel|Humán-egészségügyi, szociális ellátás|Budapest|67|Q
